s1,MOVIE,DICK JOHNSON IS DEAD,KIRSTEN JOHNSON,UNKNOWN,UNITED STATES,2021-09-25,2020,PG-13,90 min,DOCUMENTARIES,"AS HER FATHER NEARS THE END OF HIS LIFE, FILMMAKER KIRSTEN JOHNSON STAGES HIS DEATH IN INVENTIVE AND COMICAL WAYS TO HELP THEM BOTH FACE THE INEVITABLE."
s2,TV SHOW,BLOOD & WATER,UNKNOWN,"AMA QAMATA, KHOSI NGEMA, GAIL MABALANE, THABANG MOLABA, DILLON WINDVOGEL, NATASHA THAHANE, ARNO GREEFF, XOLILE TSHABALALA, GETMORE SITHOLE, CINDY MAHLANGU, RYLE DE MORNY, GRETELI FINCHAM, SELLO MAAKE KA-NCUBE, ODWA GWANYA, MEKAILA MATHYS, SANDI SCHULTZ, DUANE WILLIAMS, SHAMILLA MILLER, PATRICK MOFOKENG",SOUTH AFRICA,2021-09-24,2021,TV-MA,2 Seasons,"INTERNATIONAL TV SHOWS, TV DRAMAS, TV MYSTERIES","AFTER CROSSING PATHS AT A PARTY, A CAPE TOWN TEEN SETS OUT TO PROVE WHETHER A PRIVATE-SCHOOL SWIMMING STAR IS HER SISTER WHO WAS ABDUCTED AT BIRTH."
s3,TV SHOW,GANGLANDS,JULIEN LECLERCQ,"SAMI BOUAJILA, TRACY GOTOAS, SAMUEL JOUY, NABIHA AKKARI, SOFIA LESAFFRE, SALIM KECHIOUCHE, NOUREDDINE FARIHI, GEERT VAN RAMPELBERG, BAKARY DIOMBERA",UNKNOWN,2021-09-24,2021,TV-MA,1 Season,"CRIME TV SHOWS, INTERNATIONAL TV SHOWS, TV ACTION & ADVENTURE","TO PROTECT HIS FAMILY FROM A POWERFUL DRUG LORD, SKILLED THIEF MEHDI AND HIS EXPERT TEAM OF ROBBERS ARE PULLED INTO A VIOLENT AND DEADLY TURF WAR."
s4,TV SHOW,JAILBIRDS NEW ORLEANS,UNKNOWN,UNKNOWN,UNKNOWN,2021-09-24,2021,TV-MA,1 Season,"DOCUSERIES, REALITY TV","FEUDS, FLIRTATIONS AND TOILET TALK GO DOWN AMONG THE INCARCERATED WOMEN AT THE ORLEANS JUSTICE CENTER IN NEW ORLEANS ON THIS GRITTY REALITY SERIES."
s5,TV SHOW,KOTA FACTORY,UNKNOWN,"MAYUR MORE, JITENDRA KUMAR, RANJAN RAJ, ALAM KHAN, AHSAAS CHANNA, REVATHI PILLAI, URVI SINGH, ARUN KUMAR",INDIA,2021-09-24,2021,TV-MA,2 Seasons,"INTERNATIONAL TV SHOWS, ROMANTIC TV SHOWS, TV COMEDIES","IN A CITY OF COACHING CENTERS KNOWN TO TRAIN INDIA’S FINEST COLLEGIATE MINDS, AN EARNEST BUT UNEXCEPTIONAL STUDENT AND HIS FRIENDS NAVIGATE CAMPUS LIFE."
s6,TV SHOW,MIDNIGHT MASS,MIKE FLANAGAN,"KATE SIEGEL, ZACH GILFORD, HAMISH LINKLATER, HENRY THOMAS, KRISTIN LEHMAN, SAMANTHA SLOYAN, IGBY RIGNEY, RAHUL KOHLI, ANNARAH CYMONE, ANNABETH GISH, ALEX ESSOE, RAHUL ABBURI, MATT BIEDEL, MICHAEL TRUCCO, CRYSTAL BALINT, LOUIS OLIVER",UNKNOWN,2021-09-24,2021,TV-MA,1 Season,"TV DRAMAS, TV HORROR, TV MYSTERIES","THE ARRIVAL OF A CHARISMATIC YOUNG PRIEST BRINGS GLORIOUS MIRACLES, OMINOUS MYSTERIES AND RENEWED RELIGIOUS FERVOR TO A DYING TOWN DESPERATE TO BELIEVE."
s7,MOVIE,MY LITTLE PONY: A NEW GENERATION,"ROBERT CULLEN, JOSÉ LUIS UCHA","VANESSA HUDGENS, KIMIKO GLENN, JAMES MARSDEN, SOFIA CARSON, LIZA KOSHY, KEN JEONG, ELIZABETH PERKINS, JANE KRAKOWSKI, MICHAEL MCKEAN, PHIL LAMARR",UNKNOWN,2021-09-24,2021,PG,91 min,CHILDREN & FAMILY MOVIES,"EQUESTRIA'S DIVIDED. BUT A BRIGHT-EYED HERO BELIEVES EARTH PONIES, PEGASI AND UNICORNS SHOULD BE PALS — AND, HOOF TO HEART, SHE’S DETERMINED TO PROVE IT."
s8,MOVIE,SANKOFA,HAILE GERIMA,"KOFI GHANABA, OYAFUNMIKE OGUNLANO, ALEXANDRA DUAH, NICK MEDLEY, MUTABARUKA, AFEMO OMILAMI, REGGIE CARTER, MZURI","UNITED STATES, GHANA, BURKINA FASO, UNITED KINGDOM, GERMANY, ETHIOPIA",2021-09-24,1993,TV-MA,125 min,"DRAMAS, INDEPENDENT MOVIES, INTERNATIONAL MOVIES","ON A PHOTO SHOOT IN GHANA, AN AMERICAN MODEL SLIPS BACK IN TIME, BECOMES ENSLAVED ON A PLANTATION AND BEARS WITNESS TO THE AGONY OF HER ANCESTRAL PAST."
s9,TV SHOW,THE GREAT BRITISH BAKING SHOW,ANDY DEVONSHIRE,"MEL GIEDROYC, SUE PERKINS, MARY BERRY, PAUL HOLLYWOOD",UNITED KINGDOM,2021-09-24,2021,TV-14,9 Seasons,"BRITISH TV SHOWS, REALITY TV","A TALENTED BATCH OF AMATEUR BAKERS FACE OFF IN A 10-WEEK COMPETITION, WHIPPING UP THEIR BEST DISHES IN THE HOPES OF BEING NAMED THE U.K.'S BEST."
s10,MOVIE,THE STARLING,THEODORE MELFI,"MELISSA MCCARTHY, CHRIS O'DOWD, KEVIN KLINE, TIMOTHY OLYPHANT, DAVEED DIGGS, SKYLER GISONDO, LAURA HARRIER, ROSALIND CHAO, KIMBERLY QUINN, LORETTA DEVINE, RAVI KAPOOR",UNITED STATES,2021-09-24,2021,PG-13,104 min,"COMEDIES, DRAMAS",A WOMAN ADJUSTING TO LIFE AFTER A LOSS CONTENDS WITH A FEISTY BIRD THAT'S TAKEN OVER HER GARDEN — AND A HUSBAND WHO'S STRUGGLING TO FIND A WAY FORWARD.
s11,TV SHOW,"VENDETTA: TRUTH, LIES AND THE MAFIA",UNKNOWN,UNKNOWN,UNKNOWN,2021-09-24,2021,TV-MA,1 Season,"CRIME TV SHOWS, DOCUSERIES, INTERNATIONAL TV SHOWS","SICILY BOASTS A BOLD ""ANTI-MAFIA"" COALITION. BUT WHAT HAPPENS WHEN THOSE TRYING TO BRING DOWN ORGANIZED CRIME ARE ACCUSED OF BEING CRIMINALS THEMSELVES?"
